timestamp,demand
2024-01-01 00:00:00,2450.5
2024-01-01 01:00:00,2340.2
2024-01-01 02:00:00,2210.8
2024-01-01 03:00:00,2105.4
2024-01-01 04:00:00,2089.6
2024-01-01 05:00:00,2156.3
2024-01-01 06:00:00,2389.7
2024-01-01 07:00:00,2756.2
2024-01-01 08:00:00,3089.5
2024-01-01 09:00:00,3245.6
2024-01-01 10:00:00,3456.8
2024-01-01 11:00:00,3612.4
2024-01-01 12:00:00,3789.1
2024-01-01 13:00:00,3745.3
2024-01-01 14:00:00,3678.9
2024-01-01 15:00:00,3534.2
2024-01-01 16:00:00,3612.8
2024-01-01 17:00:00,3856.5
2024-01-01 18:00:00,4123.7
2024-01-01 19:00:00,4356.2
2024-01-01 20:00:00,4523.8
2024-01-01 21:00:00,4234.5
2024-01-01 22:00:00,3912.3
2024-01-01 23:00:00,3456.7
2024-01-02 00:00:00,2567.8
2024-01-02 01:00:00,2389.2
2024-01-02 02:00:00,2245.6
2024-01-02 03:00:00,2134.5
2024-01-02 04:00:00,2098.3
2024-01-02 05:00:00,2189.6
2024-01-02 06:00:00,2412.3
2024-01-02 07:00:00,2834.5
2024-01-02 08:00:00,3167.8
2024-01-02 09:00:00,3334.2
2024-01-02 10:00:00,3567.9
2024-01-02 11:00:00,3734.6
2024-01-02 12:00:00,3912.3
2024-01-02 13:00:00,3867.8
2024-01-02 14:00:00,3789.5
2024-01-02 15:00:00,3634.2
2024-01-02 16:00:00,3723.6
2024-01-02 17:00:00,3978.9
2024-01-02 18:00:00,4234.5
2024-01-02 19:00:00,4467.8
2024-01-02 20:00:00,4645.6
2024-01-02 21:00:00,4356.7
2024-01-02 22:00:00,4023.4
2024-01-02 23:00:00,3567.8
2024-01-03 00:00:00,2634.5
2024-01-03 01:00:00,2456.2
2024-01-03 02:00:00,2312.3
2024-01-03 03:00:00,2201.4
2024-01-03 04:00:00,2167.8
2024-01-03 05:00:00,2256.9
2024-01-03 06:00:00,2489.3
2024-01-03 07:00:00,2912.6
2024-01-03 08:00:00,3245.7
2024-01-03 09:00:00,3423.8
2024-01-03 10:00:00,3645.9
2024-01-03 11:00:00,3823.4
2024-01-03 12:00:00,4001.2
2024-01-03 13:00:00,3956.7
2024-01-03 14:00:00,3878.9
2024-01-03 15:00:00,3723.4
2024-01-03 16:00:00,3812.6
2024-01-03 17:00:00,4067.8
2024-01-03 18:00:00,4334.5
2024-01-03 19:00:00,4578.9
2024-01-03 20:00:00,4756.3
2024-01-03 21:00:00,4467.8
2024-01-03 22:00:00,4134.2
2024-01-03 23:00:00,3678.9
2024-01-04 00:00:00,2701.2
2024-01-04 01:00:00,2523.4
2024-01-04 02:00:00,2378.9
2024-01-04 03:00:00,2267.8
2024-01-04 04:00:00,2234.5
2024-01-04 05:00:00,2323.6
2024-01-04 06:00:00,2556.7
2024-01-04 07:00:00,2989.8
2024-01-04 08:00:00,3323.4
2024-01-04 09:00:00,3501.2
2024-01-04 10:00:00,3723.6
2024-01-04 11:00:00,3901.2
2024-01-04 12:00:00,4078.9
2024-01-04 13:00:00,4034.5
2024-01-04 14:00:00,3956.7
2024-01-04 15:00:00,3801.2
2024-01-04 16:00:00,3890.3
2024-01-04 17:00:00,4145.6
2024-01-04 18:00:00,4412.3
2024-01-04 19:00:00,4656.8
2024-01-04 20:00:00,4834.5
2024-01-04 21:00:00,4545.6
2024-01-04 22:00:00,4212.3
2024-01-04 23:00:00,3756.7
2024-01-05 00:00:00,2767.8
2024-01-05 01:00:00,2589.6
2024-01-05 02:00:00,2445.2
2024-01-05 03:00:00,2334.3
2024-01-05 04:00:00,2301.2
2024-01-05 05:00:00,2390.3
2024-01-05 06:00:00,2623.4
2024-01-05 07:00:00,3056.7
2024-01-05 08:00:00,3389.5
2024-01-05 09:00:00,3567.8
2024-01-05 10:00:00,3789.2
2024-01-05 11:00:00,3967.8
2024-01-05 12:00:00,4145.6
2024-01-05 13:00:00,4101.2
2024-01-05 14:00:00,4023.4
2024-01-05 15:00:00,3867.8
2024-01-05 16:00:00,3956.9
2024-01-05 17:00:00,4212.3
2024-01-05 18:00:00,4478.9
2024-01-05 19:00:00,4723.4
2024-01-05 20:00:00,4901.2
2024-01-05 21:00:00,4612.3
2024-01-05 22:00:00,4278.9
2024-01-05 23:00:00,3823.4
2024-01-06 00:00:00,2834.5
2024-01-06 01:00:00,2656.3
2024-01-06 02:00:00,2512.3
2024-01-06 03:00:00,2401.2
2024-01-06 04:00:00,2367.8
2024-01-06 05:00:00,2456.9
2024-01-06 06:00:00,2690.1
2024-01-06 07:00:00,3123.4
2024-01-06 08:00:00,3456.2
2024-01-06 09:00:00,3634.5
2024-01-06 10:00:00,3856.7
2024-01-06 11:00:00,4034.3
2024-01-06 12:00:00,4212.3
2024-01-06 13:00:00,4167.8
2024-01-06 14:00:00,4090.1
2024-01-06 15:00:00,3934.5
2024-01-06 16:00:00,4023.6
2024-01-06 17:00:00,4278.9
2024-01-06 18:00:00,4545.6
2024-01-06 19:00:00,4790.1
2024-01-06 20:00:00,4967.8
2024-01-06 21:00:00,4678.9
2024-01-06 22:00:00,4345.6
2024-01-06 23:00:00,3890.1
2024-01-07 00:00:00,2901.2
2024-01-07 01:00:00,2723.4
2024-01-07 02:00:00,2578.9
2024-01-07 03:00:00,2467.8
2024-01-07 04:00:00,2434.5
2024-01-07 05:00:00,2523.6
2024-01-07 06:00:00,2756.7
2024-01-07 07:00:00,3190.1
2024-01-07 08:00:00,3523.4
2024-01-07 09:00:00,3701.2
2024-01-07 10:00:00,3923.6
2024-01-07 11:00:00,4101.2
2024-01-07 12:00:00,4278.9
2024-01-07 13:00:00,4234.5
2024-01-07 14:00:00,4156.7
2024-01-07 15:00:00,4001.2
2024-01-07 16:00:00,4090.3
2024-01-07 17:00:00,4345.6
2024-01-07 18:00:00,4612.3
2024-01-07 19:00:00,4856.8
2024-01-07 20:00:00,5034.5
2024-01-07 21:00:00,4745.6
2024-01-07 22:00:00,4412.3
2024-01-07 23:00:00,3956.7
